CL,CLXBOXPS4,GT,CIRCUIT,TEMPS,Help1,Help2,Help3,POINTSCHRONO,POINTS CHRONO ENTIER
16,40,XRT QUARTA,3,134510,0,0,0,8,8
11,20,WTG FRENCHIE,3,133692,0,0,0,30,30
5,6,TX3 BENBDBY,3,132540,0,0,0,65,65
7,14,FCT CHRIST94,3,133193,0,0,0,55,55
25,51,BENETLOLO38,3,135092,1,0,1,3.5,0
9,16,XRT Darkfly,3,133396,0,0,0,45,45
24,70,XRT SANGLUTEN,3,135833,0,0,0,0.91,0
36,69,XRT CASPER,3,135792,0,1,1,0.92,0
21,52,XRTSAYAN60,3,135174,0,0,1,3,1
10,18,NEO MUSHRA,3,133626,0,0,0,35,35
31,62,DJE94500,3,135624,0,0,1,1,0
43,82,GAME3MAN,3,136800,1,1,1,0.84,0
29,61,VRT_LECLERC16,3,135590,0,0,1,1.5,0
24,59,RCR-JEREM_10,3,135451,0,0,0,2,2
18,44,VRT SAITO666,3,134713,0,0,1,5,2
33,66,VIREFLY46,3,135671,1,0,0,0.94,0
22,58,RCR-YOHANN_93,3,135393,0,0,0,2.5,2
37,74,WTG_ATLANTIDE,3,135968,1,0,1,0.89,0
22,37,MGS x NORRISF1,3,134249,1,1,1,12,1
30,47,KILLAPLHA59,3,134883,1,1,1,4.5,0
15,33,TECNEP,3,134066,0,0,1,18,9
2,2,PUR ALONSO36,3,131935,0,0,0,95,95
3,3,FCT CIAMPA,3,132198,0,0,0,85,85
1,1,FCT RAVEN,3,131900,0,0,0,100,100
20,38,ELMALE06,3,134375,0,0,1,10,5
20,32,EVS SPACEX,3,134040,1,1,1,14,1
17,41,RCR-MORGAN_022,3,134563,0,0,0,8,8
32,55,DODO875559,3,135267,0,1,1,1.5,0
8,15,VRT DWILD,3,133258,0,0,0,50,50
14,17,MCR KAISER28,3,133470,1,0,1,40,10
12,24,MCR JAYRKO,3,133877,0,0,0,25,25
17,39,TOMLAFOUDRE,3,134406,0,0,1,10,5
23,43,MCR NICOBREIZ56,3,134670,1,0,1,6,1
27,46,VRT CREVETTE,3,134859,1,1,1,4.5,0
28,48,james90LH,3,134931,1,1,1,4,0
29,54,MCR NUVOLARI,3,135219,1,0,1,2,0
39,76,HEISENBERG7581,3,136229,1,1,1,0.89,0
1,1,FCT CIAMPA,6,138529,0,0,0,100,100
15,18,XRT QUARTA,6,139798,1,0,1,40,10
6,13,XRT Darkfly,6,139537,0,0,0,55,55
9,23,TX3 BENBDBY,6,139940,0,0,0,25,25
12,30,WTG FRENCHIE,6,140160,0,0,0,14,14
24,39,XRT CASPER,6,140495,0,1,1,5,1
16,24,XRT SANGLUTEN,6,139959,0,0,1,20,10
28,56,XRTSAYAN60,6,141259,0,0,1,1,0
18,17,EVS SPACEX,6,139776,1,1,1,45,5
22,33,DODO875559,6,140246,0,1,1,8,2
14,34,VRT_LECLERC16,6,140270,0,0,1,25,12
19,32,TOMLAFOUDRE,6,140217,0,0,1,10,5
5,12,FCT CHRIST94,6,139454,0,0,0,60,60
8,21,NEO MUSHRA,6,139857,0,0,0,35,35
31,57,MCR KAISER28,6,141381,1,0,1,0.95,0
30,46,james90LH,6,140789,1,1,1,3.5,0
20,38,VRT SAITO666,6,140476,0,0,1,6,3
3,4,FCT RAVEN,6,138962,0,0,0,85,85
24,50,WTG_ATLANTIDE,6,141016,1,0,1,4.5,1
29,65,VRT CREVETTE,6,141592,0,0,1,0.93,0
25,64,RCR-JEREM_10,6,141583,0,0,0,1,1
4,11,VRT DWILD,6,139283,0,0,0,65,65
25,52,FCL PESCA,6,141104,0,0,1,2,1
11,22,BENETLOLO38,6,139877,0,0,1,30,15
15,59,EL MALE06,6,141449,0,0,1,14,7
35,63,MAGICESTEVES,3,135663,1,0,1,0.94,0
10,29,MCR JAYRKO,6,140123,0,0,0,16,16
41,80,OIGNONVELOURS38,3,136638,1,1,1,0.87,0
2,2,T10 MAEL,6,138678,0,0,0,95,95
20,58,RCR-YOHANN_93,6,141433,0,0,0,3,3
18,45,DJE94500,6,140746,0,0,1,8,4
4,4,T10 MAEL,3,132203,0,0,0,75,75
6,5,Enduro_Brokn,6,139009,0,0,1,95,47
